% time spent exploring,episodes,mean 100 episode reward,steps
98,100,-4.0,163
96,200,-3.9,334
95,300,-4.1,500
93,400,-4.0,675
91,500,-3.9,864
89,600,-4.0,1048
88,700,-3.7,1224
86,800,-3.9,1397
84,900,-3.7,1584
82,1000,-4.1,1773
80,1100,-3.9,1949
78,1200,-3.9,2160
76,1300,-3.8,2348
74,1400,-3.9,2582
72,1500,-3.7,2807
70,1600,-3.8,3042
68,1700,-3.7,3233
66,1800,-3.9,3434
64,1900,-3.7,3671
61,2000,-3.7,3908
59,2100,-3.9,4131
56,2200,-3.6,4395
54,2300,-3.3,4675
51,2400,-3.7,4948
48,2500,-3.3,5209
46,2600,-3.2,5477
43,2700,-3.6,5800
40,2800,-3.3,6117
36,2900,-3.5,6468
33,3000,-3.3,6817
29,3100,-3.3,7215
24,3200,-2.9,7663
20,3300,-2.8,8127
15,3400,-2.6,8667
8,3500,-3.0,9377
2,3600,-1.9,11721
2,3700,2.1,15831
2,3800,6.5,21368
2,3900,7.6,27689
2,4000,5.1,34572
2,4100,6.5,41325
